company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored
$AVY INC,Computers,avy.com,NEW YORK,NY,10012,(917) 385-6425,,,Laura Bailyn,,1475000,1475000,Pre-Seed,14-11-2016,,,,,
011235813 INC,Other,011235813.com,SHERMAN OAKS,CA,91403,(818) 472-9616,2023,2,"Brandon Brunet, Edward Livingston, Eileen Lyon, Tanner Philp",,8499999,1500000,Pre-Seed,12-05-2024,,,,,
0XCORD INC,Other,0xcord.com,NEW YORK,NY,10003,(720) 278-4066,2021,4,"Alex Napheys, Penn Gilead",,3500000,3500000,Pre-Seed,07-04-2022,,,,,
0XESSENTIAL INC,Other,0xessential.com,BROOKLYN,NY,11216,(845) 594-6543,2021,4,Samuel Bauch,,1105000,1105000,Pre-Seed,21-01-2022,,,,,
1 KICKER HOLDINGS LLC,Business Services,1kicker.com,SOUTH LAKE,TX,76092,(847) 972-0000,2022,3,Anil K Sunkara,,,,,,,,,,
1 N MAIN LLC,Other,,NORTHBROOK,IL,60062,(773) 424-5829,2022,3,"Robert Sadoff, a Delaware limited liabililty company SREH Oshkosh Manager, LLC",,10350000,10350000,Series A,23-02-2023,,,,,
1 TRUE HEALTH CARE MANAGEMENT INC,Business Services,,AUSTIN,TX,78701,(385) 377-9352,2020,5,"Charles Owen, Shawn Smith",,1500000,1500000,Pre-Seed,16-02-2024,,,,,
1-10 LOGISTICS CENTER LLC,Other,,IRVINE,CA,92614,(949) 417-4463,2020,5,ED MORRELL,,,,,,,,,,
10 PERCENT HAPPIER INC,Other Technology,10percenthappier.com,BOSTON,MA,2111,(415) 279-9893,,,"Benjamin Rubin, Derek Haswell","Bo Shao, Dan Harris, Derek Haswell, Eric Paley, Lee Hower",9153494,5000000,Seed,25-09-2019,,,,,
100 THIEVES LLC,Other,100thieves.com,LOS ANGELES,CA,90045,(424) 298-0196,2017,8,Matthew Haag,"Jake Cohen, John Robinson, Josh Dienstag, Michael Sepso, Scott Braun",35950000,35950000,Series B,03-07-2019,,,,,
10000 INC,Other,10000.io,SAN FRANCISCO,CA,94114,(214) 394-2683,2018,7,"James Beshara, William Hicks","Dayton Miller, Justin Kan, Matt Wan",17996101,15996101,Series A,15-08-2025,,,,,
1000MUSEUMS INC,Other Technology,1000museums.com,BELLEVUE,WA,98005,(425) 679-6099,,,"BRENDAN BURNS, KEVIN S. MCPHILLIPS, KIRSTEN SODERLIND, Kevin S. McPhillips, STEPHEN H. MARKS, Stephen H. Marks","Brian Model, CHRISTOPHER J. STEELE, DIANE LOEB, Diane Loeb, GREGG BENNETT, Mitesh S. Lakhani, PAUL J. TUCKER, PAUL TUCKER, WALTER BERNHEIMER",6618999,1000000,Pre-Seed,04-11-2015,,,,,
100INSIGHTS INC,Other Technology,100insights.com,CHICAGO,IL,60603,(630) 827-9204,2014,11,"Abby Anderson, Matt Ostanik, Mollie Bodensteiner, Steve Adamson, Steve Will","Bruce Lehrman, Paul Hayes",3000000,3000000,Pre-Seed,30-11-2017,,,,,
101 EDU INC,Other Technology,101-edu.com,NEW YORK,NY,10280,(917) 587-7883,2016,9,"Igor Belyayev, Justin Weinberg","Bradley McBride, Igor Belyayev, James Caras, Ned Renzi",7874154,4599998,Seed,18-12-2020,,,,,
101 STUDIOS LLC,Other,101-studios.com,Beverly Hills,CA,90210,(424) 388-0900,2018,7,"David Glasser, David Hutkin, Heather Phillips, Michele Newman, Niels Schuurmans","Carla Christofferson, David Barnes, Laurie Ann Goldman, Marc Leder, Mark Styslinger",14430000,14430000,Series A,02-03-2020,,,,,
1031 CF BRIDGE FUND LLC,Investing,,LAKE FOREST,CA,92630,(844) 533-1031,2019,6,"1031 Crowdfunding E. LLC, Edward E. Fernandez",,50000000,25000000,Series A,20-01-2021,,,,,
1031CF BRIDGE FUND II LLC,Investing,,IRVINE,CA,92614,(844) 533-1031,2022,3,"1031 Crowdfunding E. LLC, 1031CF Properties E. LLC, DNS Capital E. LLC, Peter E. Elwell, Wade E. Curtis",,,,,,,,,,
1034 WESTMORELAND LLC,Other,,ALHAMBRA,CA,91803,(949) 296-7502,2023,2,"Andy O Choi, Jamie O Sanchez, Jorge O Contreras",,,,,,,,,,
1052 PARTNERS LLC,Other Technology,,CHICAGO,IL,60631,(844) 522-3343,2016,9,"Austin Fox, Tim Rowley","Bryan J. Hooker, J. Labor Twenty-Four LLC, J. RLJ Holdings, LLC",1500000,1500000,Pre-Seed,19-04-2017,,,,,
1080 LORIMER MEZZ INVESTORS LP,Other Banking and Financial Services,,NEW YORK,NY,10028,(646) 795-6977,2021,4,"Evan Bell, Ilan Rubinstein",,7440000,7440000,Series A,03-06-2021,,,,,
1080 NETWORK INC,Other Technology,1080network.com,Bee Cave,TX,78738,(415) 940-1065,2020,5,"Christopher Petersen, Michael Ward","Chris Gagnon, Christopher Petersen, David Clfiton, David Clifton, Michael Ward, Paul England, Tim Kuchlein",35500000,6000000,Pre-Seed,26-03-2025,,,,,
10BEAUTY INC,Other,10beauty.co,NEW YORK,NY,10014,(917) 612-0114,,,Justin Effron,"Alexander Shashou, Chris Casey, Kelly Dill, Mo Koyfman",23999942,23999942,Series B,08-12-2023,,,,,
