company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
0XCORD INC,Other,0xcord.com,NEW YORK,NY,10003,(720) 278-4066,2021,4,"Alex Napheys, Penn Gilead",,3500000,3500000,Pre-Seed,07-04-2022,,,,,,contact@0xcord.com
10 PERCENT HAPPIER INC,Other Technology,10percenthappier.com,BOSTON,MA,2111,(415) 279-9893,,,"Benjamin Rubin, Derek Haswell","Bo Shao, Dan Harris, Derek Haswell, Eric Paley, Lee Hower",9153494,5000000,Seed,25-09-2019,,,,,,press@tenpercent.com; partnerships@tenpercent.com; support@meditatehappier.com
10BEAUTY INC,Other,10beauty.co,NEW YORK,NY,10014,(917) 612-0114,,,Justin Effron,"Alexander Shashou, Chris Casey, Kelly Dill, Mo Koyfman",23999942,23999942,Series B,08-12-2023,,,,,,support@10beauty.co; info@10beauty.co
1508 STATE LLC,Investing,1508state.com,CHICAGO,IL,60657,(773) 857-0197,2020,5,Zev Salomon,,2150000,2150000,Seed,10-02-2023,,,,,,Hello@1508State.com
180 LIFE SCIENCES CORP,Other,180lifesciences.com,PALO ALTO,CA,94306,(650) 507-0669,2016,9,"Blair Jordan, James N. Woody, Ozan N. Pamir","Donald A. McGovern, Francis A. Knuettel, Jay Goodman, Larry N. Gold, Lawrence N. Steinman, Lawrence Steinman, Marc N. Feldmann, Pamela A. Marrone, Ryan Smith, Stephen Shoemaker",29558200,2892000,Seed,30-12-2024,,,,,,cstmail@continentalstock.com; ir@forum-markets.com
1910 GENETICS INC,Biotechnology,1910genetics.com,CAMBRIDGE,MA,2139,(617) 416-1382,2018,7,Jennifer O. Nwankwo,"Jory O. Bell, Marc O. Foster, Samir O. Kumar",25709907,25709907,Series B,29-01-2021,,,,,,bd@1910.ai
1FORT INC,Other Technology,1fort.com,NEW YORK,NY,10021,(646) 389-0780,2021,4,"Anthony Marshi, Toby Hei Nok Hung",,9853517,9853517,Series A,10-01-2025,,,,,,hello@1fort.com; contact@1fort.ai
1UP CORP,Other Technology,1up.io,REGO PARK,NY,11374,(929) 338-9314,2021,4,"George Avetisov, Manoj Abraham",Kobie Fuller,8622291,8622291,Series A,27-12-2024,,,,,,hello@1up.io
1WORLD ONLINE INC,Other Technology,1worldonline.com,SAN JOSE,CA,95113,(408) 717-0470,2011,14,"Alex Fedosseev, Brad Kayton, Damien Leostic, Ekaterina Kourtseva","David Schlesinger, Kyoko Watanabe, Neil Devlin, Vladimir Tyurenkov",20705104,5500000,Seed,23-12-2016,,,,,,sales@1worldonline.com; info@1worldonline.com
21ST CENTURY TOWN LLC,Other,21stcenturytown.com,NEW YORK,NY,10005,(212) 230-1300,2013,12,,,,,,,,,,,,max@planmaster.ca
25MADISON LLC,Investing,25madison.com,NEW YORK,NY,10003,(914) 452-8000,2018,7,"Justine Lee, Matthew Fremont-Smith, Steven Price","Aaron Sobel, Gary Ginsberg, Kirk Posmantur, Lance West, Michael Lynton",45000000,25000000,Series B,15-12-2020,,,,,,team@25madison.com
